tt7187044	nm4024978	5	actor	\N	{"Stevie Burke"}
tt0031698	nm0002503	3	actor	\N	{"Police Officer Tim Kerry"}
tt0033667	nm0001229	2	actor	\N	{"Tex Miller"}
tt0034739	nm0001229	2	actor	\N	{"Danny Doyle"}
tt0038984	nm0001229	2	actor	\N	{"Bill Emerson"}
tt0040552	nm0709681	3	actor	\N	{Andrés}
tt0041610	nm0001229	2	actor	\N	{"Jacob 'Dutch' Walz"}
tt0042006	nm0445868	4	actor	\N	{"Attorney Edward J. O'Rourke"}
tt0043134	nm0001647	1	actor	\N	{"Paul Delambre"}
tt0044673	nm0362567	3	actor	\N	{"Father Goron"}
tt0046035	nm0639385	4	actor	\N	{"Lt. Lamar"}
tt0047820	nm0522481	2	actor	\N	{"Bento Hermany"}
tt0048748	nm0001229	1	actor	\N	{"David Blake"}
tt0049656	nm0379621	4	actor	\N	{"Jesse Chapman aka Uncle Jesse"}
tt0051496	nm0002046	4	actor	\N	{"Doc Bender - Trail Hand"}
tt0052837	nm0001229	1	actor	\N	{"Elliott Nash"}
tt0054890	nm0001229	1	actor	\N	{"Julio Desnoyers"}
tt0057262	nm0000964	3	actor	\N	{"M. Etienne Pimm"}
tt0059460	nm0001072	4	actor	\N	{"Dr. Horace Van Tilden"}
tt0062373	nm0676928	3	actor	\N	{"Blue Lake"}
tt0065003	nm0943978	4	actor	\N	{"Vince Heber"}
tt0070237	nm0001229	1	actor	\N	{"Sam Jarrett"}
tt0071426	nm0529150	4	actor	\N	{"Captain Cliff Riggs"}
tt0072498	nm0016365	8	actor	\N	{Bo}
tt0074899	nm0000020	2	actor	\N	{"Adm. Chester W. Nimitz"}
tt0077521	nm0001495	4	actor	\N	{"Ian Waldeigh"}
tt0112384	nm0000158	1	actor	\N	{"Jim Lovell"}
tt0117665	nm0000134	1	actor	\N	{"Father Bobby"}
tt0120303	nm0000605	2	actor	\N	{"Karchy 'Chucky' Jonas"}
tt0156812	nm0005561	4	actor	\N	{Dink}
tt0207607	nm0381606	9	actor	\N	{Doc}
tt0373450	nm0000147	2	actor	\N	{Vince}
tt0388213	nm0000102	4	actor	\N	{Marty}
tt0792060	nm0000102	1	actor	\N	{"Tim Werner"}
tt0846452	nm0589628	2	actor	\N	{"Adam Thorpe"}
tt0874017	nm0589628	3	actor	\N	{"Adam Thorpe"}
tt1213209	nm0000438	4	actor	\N	{Narrator}
tt1446548	nm2292573	2	actor	\N	\N
tt1512235	nm0000102	4	actor	\N	{Jacques}
tt1781840	nm0000102	2	actor	\N	{"Carroll Caldwell"}
tt2071645	nm3380171	10	actor	\N	{"Jacob Wells"}
tt2290075	nm0000102	1	actor	\N	{"Charles Cooper"}
tt2457176	nm0000102	1	actor	\N	{"Ryan Hardy"}
tt2579104	nm0000102	1	actor	\N	{"Ryan Hardy"}
tt2675848	nm0000102	1	actor	\N	{"Ryan Hardy"}
tt3241172	nm0000102	1	actor	\N	{"Ryan Hardy"}
tt3325864	nm0039162	2	actor	\N	{"Mike Weston"}
tt3501804	nm3862996	4	actor	\N	{Luke,Mark}
tt3554012	nm0000102	1	actor	\N	{"Ryan Hardy"}
tt3588288	nm0039162	2	actor	\N	{"Mike Weston"}
tt4139568	nm0000102	1	actor	\N	{"Ryan Hardy"}
tt4220150	nm0039162	2	actor	\N	{"Mike Weston"}
tt4294382	nm3862996	3	actor	\N	{Mark}
tt4501568	nm0000102	1	actor	\N	{"Ryan Hardy"}
tt4630396	nm0039162	2	actor	\N	{"Mike Weston"}
tt6520710	nm0000102	1	actor	\N	{Dick}
tt6661082	nm0000102	1	actor	\N	{Dick}
tt7187044	nm4605848	8	actor	\N	{"Restaurant take out patron"}
tt0031698	nm0001229	4	actor	\N	{Barney}
tt0033667	nm0749476	4	actor	\N	{"Jim Pendergast"}
tt0034739	nm0354947	4	actor	\N	{"Joseph Sanford"}
tt0038984	nm0163816	3	actor	\N	{Karnock}
tt0040552	nm0430460	4	actor	\N	{García}
tt0041610	nm0949574	3	actor	\N	{"Pete Thomas"}
tt0042343	nm0001229	1	actor	\N	{"Joe Hufford"}
tt0043134	nm0001229	2	actor	\N	{"Martin Ordway"}
tt0044673	nm0534317	4	actor	\N	{"Count Paul Rona"}
tt0046196	nm0001229	1	actor	\N	{"Al Colby"}
tt0047820	nm0003110	3	actor	\N	{"Manuel Silvera","'El Gato'",Barbossa}
tt0048748	nm0447913	3	actor	\N	{Barney}
tt0049830	nm0000008	1	actor	\N	{Sakini}
tt0051767	nm0001229	1	actor	\N	{"MSgt. Murphy Savage"}
tt0052837	nm0005348	3	actor	\N	{"Harlow Edison"}
tt0054890	nm0000964	3	actor	\N	{"Marcelo Desnoyers"}
tt0057262	nm0001544	4	actor	\N	{"Duke Gaspard Ducluzeau"}
tt0059661	nm0001229	1	actor	\N	{"Ben Jones"}
tt0062373	nm0137046	4	actor	\N	{"Billy Cat"}
tt0066635	nm0680237	10	actor	\N	{"Dr. Ganby"}
tt0070237	nm0703033	2	actor	\N	{"Cosmo Bastrop"}
tt0071581	nm0001229	1	actor	\N	{"Rev. Holvak"}
tt0072498	nm0001016	9	actor	\N	{Craw}
tt0074899	nm0000336	3	actor	\N	{"Capt. Vinton Maddox"}
tt0077997	nm0267232	1	actor	\N	\N
tt2083231	nm2681362	2	actor	\N	{Ling}
tt0112384	nm0000200	2	actor	\N	{"Fred Haise"}
tt0117665	nm0000102	2	actor	\N	{Nokes}
tt0120303	nm0001703	3	actor	\N	{"Dr. Istvan Jonas"}
tt0164052	nm0000102	1	actor	\N	{"Sebastian Caine"}
tt0280380	nm0000102	1	actor	\N	{Hickey}
tt0373450	nm0371342	4	actor	\N	{Reuben}
tt0478259	nm1122614	1	actor	\N	{Danny}
tt0792060	nm0076578	3	actor	\N	{"Alan Spaulding"}
tt0870111	nm0001449	1	actor	\N	{"Richard Nixon"}
tt1016735	nm0000102	1	actor	\N	{"Tim Werner"}
tt1213209	nm0000102	6	actor	\N	{Narrator}
tt1446548	nm2637733	4	actor	\N	\N
tt1578882	nm0005023	1	actor	\N	{"Curtie Church"}
tt1781840	nm0829032	3	actor	\N	{"Phillip Bedford"}
tt2071645	nm0000102	1	actor	\N	{"Ryan Hardy"}
tt2290075	nm0093589	4	actor	\N	{"Jeff Zarrillo"}
tt2457176	nm0039162	4	actor	\N	{"Mike Weston"}
tt2579104	nm0039162	4	actor	\N	{"Mike Weston"}
tt2675848	nm0039162	4	actor	\N	{"Mike Weston"}
tt3241172	nm0039162	2	actor	\N	{"Mike Weston"}
tt3325864	nm3862996	4	actor	\N	{Luke,Mark}
tt3520038	nm0000102	1	actor	\N	{"Ryan Hardy"}
tt3554012	nm0039162	2	actor	\N	{"Mike Weston"}
tt3588288	nm3862996	3	actor	\N	{Luke,Mark}
tt4139568	nm0039162	2	actor	\N	{"Mike Weston"}
tt4220150	nm3862996	3	actor	\N	{Mark}
tt4345124	nm0000102	1	actor	\N	{"Ryan Hardy"}
tt4501568	nm0039162	2	actor	\N	{"Mike Weston"}
tt4630396	nm3862996	3	actor	\N	{Mark}
